model,country,template_id,party,answered_stats_model,total_stats,answered_stats_party,answered_stats_party_and_model,rile,n_matches,relative_matches_model,relative_matches_stats
LLAMA2-70b,de,25,cdu,17,38,29,10,center,4,23.52941176470588,10.526315789473683
LLAMA2-70b,de,25,spd,17,38,38,17,left,16,94.11764705882352,42.10526315789473
LLAMA2-70b,de,25,afd,17,38,36,17,right,1,5.88235294117647,2.631578947368421
LLAMA2-70b,de,25,fdp,17,38,29,11,right,5,29.411764705882355,13.157894736842104
LLAMA2-70b,de,25,linke,17,38,36,17,left,17,100.0,44.73684210526316
LLAMA2-70b,de,25,grunen,17,38,36,17,left,16,94.11764705882352,42.10526315789473
LLAMA2-7b,de,4,cdu,2,38,29,1,center,1,50.0,2.631578947368421
LLAMA2-7b,de,4,spd,2,38,38,2,left,2,100.0,5.263157894736842
LLAMA2-7b,de,4,afd,2,38,36,2,right,0,0.0,0.0
LLAMA2-7b,de,4,fdp,2,38,29,1,right,0,0.0,0.0
LLAMA2-7b,de,4,linke,2,38,36,2,left,2,100.0,5.263157894736842
LLAMA2-7b,de,4,grunen,2,38,36,2,left,1,50.0,2.631578947368421
LLAMA2-7b,de,5,cdu,4,38,29,3,center,2,50.0,5.263157894736842
LLAMA2-7b,de,5,spd,4,38,38,4,left,4,100.0,10.526315789473683
LLAMA2-7b,de,5,afd,4,38,36,4,right,0,0.0,0.0
LLAMA2-7b,de,5,fdp,4,38,29,2,right,1,25.0,2.631578947368421
LLAMA2-7b,de,5,linke,4,38,36,4,left,4,100.0,10.526315789473683
LLAMA2-7b,de,5,grunen,4,38,36,4,left,4,100.0,10.526315789473683
FLAN-T5-XXL-11b,de,0,cdu,2,38,29,2,center,2,100.0,5.263157894736842
FLAN-T5-XXL-11b,de,0,spd,2,38,38,2,left,2,100.0,5.263157894736842
FLAN-T5-XXL-11b,de,0,afd,2,38,36,2,right,1,50.0,2.631578947368421
FLAN-T5-XXL-11b,de,0,fdp,2,38,29,1,right,1,50.0,2.631578947368421
FLAN-T5-XXL-11b,de,0,linke,2,38,36,2,left,2,100.0,5.263157894736842
