model,country,template_id,party,answered_stats_model,total_stats,answered_stats_party,answered_stats_party_and_model,rile,n_matches
LLAMA2-70b,de,25,cdu,17,38,29,10,center,4
LLAMA2-70b,de,25,spd,17,38,38,17,left,16
LLAMA2-70b,de,25,afd,17,38,36,17,right,1
LLAMA2-70b,de,25,fdp,17,38,29,11,right,5
LLAMA2-70b,de,25,linke,17,38,36,17,left,17
LLAMA2-70b,de,25,grunen,17,38,36,17,left,16
LLAMA2-7b,de,4,cdu,2,38,29,1,center,1
LLAMA2-7b,de,4,spd,2,38,38,2,left,2
LLAMA2-7b,de,4,afd,2,38,36,2,right,0
LLAMA2-7b,de,4,fdp,2,38,29,1,right,0
LLAMA2-7b,de,4,linke,2,38,36,2,left,2
LLAMA2-7b,de,4,grunen,2,38,36,2,left,1
LLAMA2-7b,de,5,cdu,4,38,29,3,center,2
LLAMA2-7b,de,5,spd,4,38,38,4,left,4
LLAMA2-7b,de,5,afd,4,38,36,4,right,0
LLAMA2-7b,de,5,fdp,4,38,29,2,right,1
LLAMA2-7b,de,5,linke,4,38,36,4,left,4
LLAMA2-7b,de,5,grunen,4,38,36,4,left,4
FLAN-T5-XXL-11b,de,0,cdu,2,38,29,2,center,2
FLAN-T5-XXL-11b,de,0,spd,2,38,38,2,left,2
FLAN-T5-XXL-11b,de,0,afd,2,38,36,2,right,1
FLAN-T5-XXL-11b,de,0,fdp,2,38,29,1,right,1
FLAN-T5-XXL-11b,de,0,linke,2,38,36,2,left,2
FLAN-T5-XXL-11b,de,0,grunen,2,38,36,2,left,2
GPT3.5-turbo-20b,de,25,cdu,16,38,29,10,center,6
GPT3.5-turbo-20b,de,25,spd,16,38,38,16,left,15
GPT3.5-turbo-20b,de,25,afd,16,38,36,16,right,3
GPT3.5-turbo-20b,de,25,fdp,16,38,29,9,right,5
GPT3.5-turbo-20b,de,25,linke,16,38,36,15,left,14
GPT3.5-turbo-20b,de,25,grunen,16,38,36,15,left,14
LLAMA2-13b,de,5,cdu,14,38,29,9,center,5
LLAMA2-13b,de,5,spd,14,38,38,14,left,12
LLAMA2-13b,de,5,afd,14,38,36,14,right,2
LLAMA2-13b,de,5,fdp,14,38,29,9,right,5
LLAMA2-13b,de,5,linke,14,38,36,14,left,12
LLAMA2-13b,de,5,grunen,14,38,36,14,left,11
LLAMA2-13b,de,24,cdu,14,38,29,9,center,5
LLAMA2-13b,de,24,spd,14,38,38,14,left,12
LLAMA2-13b,de,24,afd,14,38,36,13,right,2
LLAMA2-13b,de,24,fdp,14,38,29,10,right,5
LLAMA2-13b,de,24,linke,14,38,36,14,left,12
LLAMA2-13b,de,24,grunen,14,38,36,14,left,10
LLAMA2-7b,de,0,cdu,1,38,29,1,center,1
LLAMA2-7b,de,0,spd,1,38,38,1,left,1
LLAMA2-7b,de,0,afd,1,38,36,1,right,0
LLAMA2-7b,de,0,fdp,1,38,29,0,right,0
LLAMA2-7b,de,0,linke,1,38,36,1,left,1
LLAMA2-7b,de,0,grunen,1,38,36,1,left,1
LLAMA2-7b,de,20,cdu,10,38,29,4,center,2
LLAMA2-7b,de,20,spd,10,38,38,10,left,10
LLAMA2-7b,de,20,afd,10,38,36,10,right,1
LLAMA2-7b,de,20,fdp,10,38,29,8,right,4
LLAMA2-7b,de,20,linke,10,38,36,10,left,10
LLAMA2-7b,de,20,grunen,10,38,36,10,left,9
LLAMA2-13b,de,25,cdu,17,38,29,11,center,6
LLAMA2-13b,de,25,spd,17,38,38,17,left,14
LLAMA2-13b,de,25,afd,17,38,36,16,right,3
LLAMA2-13b,de,25,fdp,17,38,29,12,right,7
LLAMA2-13b,de,25,linke,17,38,36,17,left,15
LLAMA2-13b,de,25,grunen,17,38,36,16,left,13
LLAMA2-13b,de,0,cdu,5,38,29,3,center,3
LLAMA2-13b,de,0,spd,5,38,38,5,left,5
LLAMA2-13b,de,0,afd,5,38,36,5,right,1
LLAMA2-13b,de,0,fdp,5,38,29,2,right,1
LLAMA2-13b,de,0,linke,5,38,36,5,left,5
LLAMA2-13b,de,0,grunen,5,38,36,5,left,5
MISTRAL-7b,de,24,cdu,5,38,29,4,center,3
MISTRAL-7b,de,24,spd,5,38,38,5,left,4
MISTRAL-7b,de,24,afd,5,38,36,5,right,1
MISTRAL-7b,de,24,fdp,5,38,29,3,right,2
MISTRAL-7b,de,24,linke,5,38,36,5,left,5
MISTRAL-7b,de,24,grunen,5,38,36,5,left,5
MISTRAL-7b,de,0,cdu,6,38,29,5,center,4
MISTRAL-7b,de,0,spd,6,38,38,6,left,6
MISTRAL-7b,de,0,afd,6,38,36,6,right,2
MISTRAL-7b,de,0,fdp,6,38,29,4,right,3
MISTRAL-7b,de,0,linke,6,38,36,6,left,5
MISTRAL-7b,de,0,grunen,6,38,36,5,left,5
FLAN-T5-XXL-11b,de,20,cdu,10,38,29,5,center,3
FLAN-T5-XXL-11b,de,20,spd,10,38,38,10,left,10
FLAN-T5-XXL-11b,de,20,afd,10,38,36,10,right,1
FLAN-T5-XXL-11b,de,20,fdp,10,38,29,6,right,2
